"","charact","end","film","good","life","make","movi","onli","perform","play","scene","stori","time","veri","work","year","class","bad","plot"
"character(0)289",1,2,0,2,0,3,4,3,0,0,0,2,0,0,0,0,"Positive",0,0
"character(0)290",1,1,0,0,0,3,1,1,0,1,0,1,1,1,1,1,"Positive",0,0
"character(0)291",0,1,0,2,2,2,0,1,1,1,2,1,2,4,2,0,"Positive",0,0
"character(0)292",0,0,0,0,0,4,15,0,0,1,1,1,0,0,0,0,"Positive",0,0
"character(0)293",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,"Positive",0,0
"character(0)294",1,2,0,0,1,2,1,0,3,2,0,1,5,0,1,1,"Positive",0,0
"character(0)295",1,1,0,2,0,1,4,2,0,0,1,0,0,0,0,0,"Positive",0,0
"character(0)296",3,1,0,0,0,0,8,0,1,0,0,2,0,2,1,2,"Positive",0,0
"character(0)297",0,0,0,0,1,0,1,2,0,1,0,2,1,0,1,1,"Positive",0,0
"character(0)298",7,2,0,0,2,3,4,0,0,0,1,13,1,1,4,1,"Positive",0,0
"character(0)299",3,1,0,0,1,2,8,2,0,0,4,2,0,1,0,1,"Positive",0,0
"character(0)300",9,2,0,2,0,3,1,2,5,3,5,2,5,5,1,0,"Positive",0,0
"character(0)301",2,0,0,2,2,2,1,1,0,0,2,2,1,0,0,0,"Positive",0,0
"character(0)302",8,4,0,0,3,1,0,2,3,1,1,0,0,1,0,0,"Positive",0,0
"character(0)303",3,0,0,2,0,4,3,3,3,1,2,0,2,3,1,2,"Positive",0,0
"character(0)304",3,2,0,0,0,1,4,0,0,0,4,2,0,0,0,0,"Positive",0,0
"character(0)305",2,0,0,1,0,1,2,1,3,4,1,1,0,3,0,1,"Positive",0,0
"character(0)306",2,1,0,8,1,1,2,0,2,0,3,2,3,0,3,2,"Positive",0,0
"character(0)307",1,15,0,3,0,1,2,1,0,3,2,1,5,2,1,1,"Positive",0,0
"character(0)308",8,0,0,1,0,2,2,1,2,3,0,0,0,0,0,0,"Positive",0,0
"character(0)309",3,0,0,0,2,3,5,2,2,4,1,2,7,1,0,3,"Positive",0,0
"character(0)310",0,1,0,2,0,3,1,1,1,0,1,5,3,2,1,4,"Positive",0,0
"character(0)311",3,1,0,0,4,4,1,1,2,0,1,2,0,0,4,3,"Positive",0,0
"character(0)312",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Positive",0,0
"character(0)313",3,0,0,3,1,2,1,1,0,1,2,0,1,0,0,3,"Positive",0,0
"character(0)314",0,0,0,2,0,0,5,0,0,1,0,0,1,1,0,0,"Positive",0,0
"character(0)315",4,1,0,1,0,1,8,1,3,2,0,3,2,0,1,0,"Positive",0,0
"character(0)316",2,0,0,1,0,0,1,0,0,3,1,1,0,0,2,0,"Positive",0,0
"character(0)317",11,0,0,3,0,0,8,0,1,4,0,0,0,2,2,1,"Positive",0,0
"character(0)318",9,0,0,2,2,0,9,4,0,1,3,1,1,0,2,1,"Positive",0,0
"character(0)319",1,0,0,1,0,1,3,0,1,0,0,0,1,0,0,2,"Positive",0,0
"character(0)320",7,3,0,5,1,1,2,2,3,0,4,5,1,3,1,2,"Positive",0,0
"character(0)321",3,1,0,1,1,1,1,1,1,3,1,1,0,2,2,4,"Positive",0,0
"character(0)322",0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,"Positive",0,0
"character(0)323",0,0,0,2,1,2,0,0,0,1,1,0,0,1,1,1,"Positive",0,0
"character(0)324",4,0,0,1,0,2,1,1,0,2,0,1,3,2,0,1,"Positive",0,0
"character(0)325",0,1,0,0,7,1,5,1,0,0,0,1,1,1,0,2,"Positive",0,0
"character(0)326",0,0,0,1,0,0,4,0,1,0,1,0,1,0,0,0,"Positive",0,0
"character(0)327",5,2,0,6,5,5,4,4,3,3,3,6,8,2,1,4,"Positive",0,0
"character(0)328",7,0,0,6,1,5,5,3,0,3,1,2,4,1,1,1,"Positive",0,0
"character(0)329",1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,"Positive",0,0
"character(0)330",0,0,0,2,0,0,0,0,0,1,0,3,7,6,2,0,"Positive",0,0
"character(0)331",2,1,0,4,0,0,12,1,0,0,11,0,1,5,1,0,"Positive",0,0
"character(0)332",3,1,0,1,3,1,1,3,2,3,3,3,4,2,0,4,"Positive",0,0
"character(0)333",2,2,0,1,0,3,0,1,0,1,2,1,1,0,6,2,"Positive",0,0
"character(0)334",1,2,0,9,0,2,2,0,0,4,2,0,1,2,2,0,"Positive",0,0
"character(0)335",1,4,0,1,0,2,2,1,0,1,2,6,1,0,1,4,"Positive",0,0
"character(0)336",4,2,0,0,1,0,7,1,0,2,3,0,2,0,0,2,"Positive",0,0
"character(0)337",1,3,0,0,1,1,0,0,1,0,0,2,0,0,0,2,"Positive",0,0
"character(0)338",0,1,0,0,1,0,2,2,1,0,0,1,0,0,0,0,"Positive",0,0
"character(0)339",0,0,0,2,0,0,10,0,0,0,0,0,1,1,0,0,"Positive",0,0
"character(0)340",1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,"Positive",0,0
"character(0)341",2,0,0,1,0,2,2,2,2,0,3,0,0,0,1,1,"Positive",0,0
"character(0)342",1,0,0,0,1,1,1,4,1,0,1,2,2,2,0,0,"Positive",0,0
"character(0)343",0,0,0,1,0,1,2,1,0,2,3,2,0,0,0,0,"Positive",0,0
"character(0)344",2,0,0,1,2,1,2,2,0,0,0,0,0,0,0,0,"Positive",0,0
"character(0)345",9,3,0,1,2,2,4,6,3,0,6,1,2,3,1,1,"Positive",0,0
"character(0)346",1,0,0,2,0,0,0,0,1,0,5,1,3,0,0,1,"Positive",0,0
"character(0)347",1,2,0,3,0,1,0,2,2,0,2,1,1,0,0,1,"Positive",0,0
"character(0)348",0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,"Positive",0,0
"character(0)349",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,"Positive",0,0
"character(0)350",0,0,0,2,2,0,3,1,2,0,1,0,1,0,0,0,"Positive",0,0
"character(0)351",4,0,0,0,1,0,0,0,0,2,1,0,0,1,1,0,"Positive",0,0
"character(0)352",0,1,0,1,0,0,2,0,1,0,0,1,0,0,0,0,"Positive",0,0
"character(0)353",0,0,0,1,1,1,9,0,0,1,0,0,0,1,0,0,"Positive",0,0
"character(0)354",1,0,0,4,0,3,6,1,0,1,3,0,3,1,2,1,"Positive",0,0
"character(0)355",2,1,0,0,0,0,4,1,2,0,0,3,1,0,1,0,"Positive",0,0
"character(0)356",1,0,0,2,0,1,1,1,3,2,2,0,6,1,0,1,"Positive",0,0
"character(0)357",0,0,0,2,3,1,1,0,1,0,1,8,2,1,0,2,"Positive",0,0
"character(0)358",4,2,0,4,0,1,1,3,1,1,2,12,5,3,6,1,"Positive",0,0
"character(0)359",1,1,0,0,0,1,0,0,1,2,0,0,0,0,1,0,"Positive",0,0
"character(0)360",0,1,0,1,1,1,2,2,1,0,0,1,1,0,2,5,"Positive",0,0
"character(0)361",0,0,0,0,1,0,2,0,0,1,1,1,0,0,0,0,"Positive",0,0
"character(0)362",2,0,0,0,0,2,0,1,2,3,1,1,3,1,0,0,"Positive",0,0
"character(0)363",0,0,0,0,0,3,1,2,0,0,0,0,0,1,1,0,"Positive",0,0
"character(0)364",0,2,0,0,0,0,2,0,3,3,1,0,1,6,0,0,"Positive",0,0
"character(0)365",1,0,0,3,0,5,8,1,0,2,0,4,2,0,3,0,"Positive",0,0
"character(0)366",6,1,0,2,2,0,3,0,1,1,1,3,1,2,0,1,"Positive",0,0
"character(0)367",1,2,0,0,0,0,2,2,1,1,0,1,1,0,2,1,"Positive",0,0
"character(0)368",3,1,0,0,2,2,5,2,0,1,0,4,2,1,0,2,"Positive",0,0
"character(0)369",0,1,0,3,2,2,0,2,0,2,1,0,1,0,3,1,"Positive",0,0
"character(0)370",0,0,0,2,0,4,9,0,0,0,3,0,6,1,0,1,"Positive",0,0
"character(0)371",5,0,0,1,1,4,8,2,0,1,1,5,1,4,0,1,"Positive",0,0
"character(0)372",1,0,0,1,0,1,7,1,0,0,0,0,1,0,0,0,"Positive",0,0
"character(0)373",3,1,0,3,1,4,4,0,2,0,2,5,1,2,0,0,"Positive",0,0
"character(0)374",4,0,0,3,1,3,1,1,3,1,1,0,1,3,1,0,"Positive",0,0
"character(0)375",0,0,0,1,0,0,3,1,0,1,0,1,1,0,1,0,"Positive",0,0
"character(0)376",0,1,0,0,0,1,1,1,0,0,1,0,2,0,1,4,"Positive",0,0
"character(0)377",1,1,0,0,3,1,1,0,0,3,1,0,0,3,0,0,"Positive",0,0
"character(0)378",2,0,0,0,1,1,1,2,1,1,0,1,3,2,0,0,"Positive",0,0
"character(0)379",0,0,0,1,0,0,2,1,1,3,0,0,1,0,0,0,"Positive",0,0
"character(0)380",0,0,0,3,0,1,4,1,0,0,0,0,0,0,2,0,"Positive",0,0
"character(0)381",0,0,0,1,1,2,5,2,1,0,4,1,1,1,1,0,"Positive",0,0
"character(0)382",4,2,0,0,0,1,2,1,2,0,1,3,2,3,1,0,"Positive",0,0
"character(0)383",1,2,0,4,0,3,30,6,1,0,6,0,7,0,1,1,"Positive",0,0
"character(0)384",0,0,0,2,0,0,1,0,0,1,2,0,0,1,0,1,"Positive",0,0
"character(0)385",0,2,0,0,0,1,0,0,0,3,0,0,0,1,0,1,"Positive",0,0
"character(0)386",0,0,0,0,2,1,4,0,0,0,2,2,1,0,1,0,"Positive",0,0
"character(0)387",2,0,0,1,0,0,5,0,0,0,3,0,0,1,0,1,"Positive",0,0
"character(0)388",1,1,0,1,0,3,2,1,2,0,2,0,0,1,0,1,"Positive",0,0
"character(0)389",5,1,0,0,1,2,1,1,0,0,3,2,5,0,1,2,"Positive",0,0
"character(0)390",0,0,0,1,1,1,0,1,2,4,0,0,0,0,1,1,"Positive",0,0
"character(0)391",2,0,0,3,1,1,1,1,0,2,13,0,1,1,0,0,"Positive",0,0
"character(0)392",1,0,0,1,0,1,2,1,0,1,4,0,0,1,2,0,"Positive",0,0
"character(0)393",6,1,0,2,0,0,6,0,2,2,4,0,1,3,0,1,"Positive",0,0
"character(0)394",0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,"Positive",0,0
"character(0)395",5,1,0,0,0,3,1,0,0,1,5,1,2,0,1,1,"Positive",0,0
"character(0)396",2,1,0,0,0,0,0,2,2,0,0,0,2,0,0,1,"Positive",0,0
"character(0)397",2,1,0,1,1,2,1,0,1,1,0,0,5,0,4,1,"Positive",0,0
"character(0)398",3,0,0,1,0,0,0,1,2,3,7,3,4,3,2,1,"Positive",0,0
"character(0)399",0,1,0,1,0,1,1,3,2,0,0,1,2,2,1,2,"Positive",0,0
"character(0)400",0,0,0,0,0,0,5,1,0,1,1,1,0,0,0,1,"Positive",0,0
"character(0)401",0,3,0,2,1,2,1,0,2,2,2,6,2,2,4,0,"Positive",0,0
"character(0)402",6,0,0,0,0,5,0,0,1,0,2,1,1,1,1,0,"Positive",0,0
"character(0)403",0,0,0,1,0,0,5,0,0,2,0,0,1,1,1,1,"Positive",0,0
"character(0)404",0,0,0,3,2,0,4,2,1,1,0,0,1,0,2,0,"Positive",0,0
"character(0)405",1,0,0,3,2,0,6,0,2,8,0,0,1,0,0,0,"Positive",0,0
"character(0)406",0,0,0,1,0,0,4,1,0,2,1,0,4,0,0,3,"Positive",0,0
"character(0)407",3,0,0,1,0,0,5,3,1,0,3,0,2,4,1,1,"Positive",0,0
"character(0)408",0,0,0,0,0,4,8,1,1,0,0,0,2,0,1,1,"Positive",0,0
"character(0)409",1,0,0,1,0,0,0,1,1,1,6,1,0,1,0,2,"Positive",0,0
"character(0)410",1,0,0,1,0,1,5,2,1,0,4,2,1,1,2,0,"Positive",0,0
"character(0)411",3,0,0,3,1,1,20,2,0,2,0,1,8,7,1,2,"Positive",0,0
"character(0)412",1,3,0,0,0,2,4,1,0,0,3,2,2,3,0,2,"Positive",0,0
"character(0)413",1,0,0,0,0,1,1,0,0,3,2,0,1,1,1,0,"Positive",0,0
"character(0)414",2,1,0,1,0,6,3,2,1,2,4,0,3,0,1,2,"Positive",0,0
"character(0)415",0,1,0,0,1,1,0,2,0,2,0,3,0,1,1,1,"Positive",0,0
"character(0)416",1,0,0,1,2,0,1,0,0,0,0,0,1,0,0,1,"Positive",0,0
"character(0)417",0,0,0,2,1,1,1,2,0,0,1,2,3,2,1,0,"Positive",0,0
"character(0)418",1,3,0,0,1,1,0,0,0,2,0,2,1,3,0,0,"Positive",0,0
"character(0)419",1,2,0,2,0,2,6,0,0,1,0,1,0,2,2,0,"Positive",0,0
"character(0)420",1,1,0,0,0,1,1,1,0,0,1,3,2,0,1,1,"Positive",0,0
"character(0)421",8,1,0,3,0,2,1,0,5,0,2,2,2,5,0,5,"Positive",0,0
"character(0)422",2,0,0,1,1,6,1,0,2,0,1,2,0,2,2,0,"Positive",0,0
"character(0)423",0,3,0,1,0,3,0,1,1,0,0,2,1,5,2,0,"Positive",0,0
"character(0)424",0,0,0,0,1,2,2,0,1,0,1,0,0,1,0,0,"Positive",0,0
"character(0)425",0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,"Positive",0,0
"character(0)426",0,1,0,0,0,2,2,2,0,4,1,2,2,0,0,0,"Positive",0,0
"character(0)427",4,2,0,1,0,1,2,3,2,4,1,0,0,0,3,1,"Positive",0,0
"character(0)428",1,0,0,0,0,2,2,0,2,0,0,1,2,1,0,2,"Positive",0,0
"character(0)429",0,0,0,1,0,0,1,0,0,3,0,0,1,1,4,0,"Positive",0,0
"character(0)430",0,1,0,1,0,0,2,1,0,0,2,0,1,0,1,0,"Positive",0,0
"character(0)431",1,0,0,1,0,0,2,0,1,1,1,2,0,0,0,2,"Positive",0,0
"character(0)432",1,2,0,2,0,0,1,0,0,2,6,3,2,1,3,0,"Positive",0,0
"character(0)433",4,2,0,6,0,0,0,0,9,1,0,1,7,10,1,0,"Positive",0,0
"character(0)434",0,0,0,3,0,0,2,2,1,0,0,0,1,3,0,1,"Positive",0,0
"character(0)435",3,0,0,8,3,5,2,4,2,4,7,0,4,1,9,1,"Positive",0,0
"character(0)436",4,3,0,0,2,0,3,3,1,2,1,2,0,5,1,1,"Positive",0,0
"character(0)437",6,3,0,0,5,1,1,1,3,2,3,2,2,0,0,1,"Positive",0,0
"character(0)438",0,2,0,2,0,6,2,2,0,0,3,3,0,0,1,0,"Positive",0,0
"character(0)439",6,1,0,5,1,4,4,3,2,3,5,2,3,0,4,2,"Positive",0,0
"character(0)440",1,1,0,0,8,2,2,0,1,0,2,2,1,0,0,0,"Positive",0,0
"character(0)441",2,0,0,5,2,4,15,0,0,2,6,0,4,0,1,0,"Positive",0,0
"character(0)442",4,3,0,5,0,5,2,2,1,2,2,3,1,0,2,0,"Positive",0,0
"character(0)443",2,1,0,0,0,0,11,0,0,3,0,0,0,1,0,1,"Positive",0,0
"character(0)444",0,1,0,0,0,0,2,0,0,1,0,1,2,0,0,0,"Positive",0,0
"character(0)445",0,1,0,1,1,2,1,2,0,1,1,2,0,3,1,0,"Positive",0,0
"character(0)446",3,0,0,2,3,1,5,2,1,0,2,0,1,0,2,0,"Positive",0,0
"character(0)447",2,3,0,0,0,2,10,0,2,0,0,0,2,0,1,4,"Positive",0,0
"character(0)448",1,0,0,1,2,0,1,1,1,0,1,0,0,1,1,0,"Positive",0,0
"character(0)449",0,0,0,5,0,2,0,0,0,1,1,1,0,7,0,4,"Positive",0,0
"character(0)450",0,1,0,1,1,0,2,0,3,0,0,2,3,3,0,0,"Positive",0,0
"character(0)451",1,1,0,1,0,0,4,2,0,2,0,0,5,0,2,1,"Positive",0,0
"character(0)452",1,0,0,1,0,1,2,1,2,3,0,2,1,0,0,0,"Positive",0,0
"character(0)453",4,1,0,5,1,3,5,2,3,3,0,5,1,3,1,0,"Positive",0,0
"character(0)454",1,0,0,0,0,0,0,2,1,2,0,0,1,1,1,1,"Positive",0,0
"character(0)455",0,0,0,0,1,3,2,0,1,1,1,0,1,1,3,1,"Positive",0,0
"character(0)456",4,0,0,0,0,0,2,0,0,1,0,0,1,1,1,2,"Positive",0,0
"character(0)457",2,1,0,1,1,2,1,1,0,2,1,2,4,0,0,1,"Positive",0,0
"character(0)458",1,1,0,1,0,1,4,0,0,2,0,1,1,0,0,0,"Positive",0,0
"character(0)459",0,2,0,0,0,0,3,0,0,1,0,1,1,2,0,1,"Positive",0,0
"character(0)460",0,1,0,7,1,2,13,0,0,0,2,1,5,2,0,0,"Positive",0,0
"character(0)461",2,2,0,1,3,2,1,4,2,2,0,2,1,1,0,0,"Positive",0,0
"character(0)462",0,1,0,2,2,2,0,1,0,2,2,0,2,0,0,0,"Positive",0,0
"character(0)463",1,2,0,0,0,1,4,0,0,1,2,3,2,0,0,0,"Positive",0,0
"character(0)464",0,1,0,0,0,1,3,1,1,2,3,1,0,1,1,1,"Positive",0,0
"character(0)465",0,2,0,1,0,1,0,3,0,0,3,0,1,0,0,1,"Positive",0,0
"character(0)466",1,0,0,0,0,4,4,0,2,1,2,0,2,0,1,1,"Positive",0,0
"character(0)467",2,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,"Positive",0,0
"character(0)468",1,0,0,0,3,3,7,0,0,0,2,2,1,0,0,0,"Positive",0,0
"character(0)469",7,4,0,0,6,2,0,0,1,4,1,5,2,1,2,2,"Positive",0,0
"character(0)470",0,1,0,0,3,2,1,0,1,1,2,1,2,0,0,1,"Positive",0,0
"character(0)471",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,"Positive",0,0
"character(0)472",3,0,0,2,0,0,2,0,1,3,1,0,1,1,1,0,"Positive",0,0
"character(0)473",1,1,0,0,0,1,2,0,1,1,1,1,2,0,0,0,"Positive",0,0
"character(0)474",0,0,0,1,1,2,2,1,0,2,1,0,3,0,1,2,"Positive",0,0
"character(0)475",5,4,0,2,0,4,15,3,4,2,0,1,3,4,2,1,"Positive",0,0
"character(0)476",0,0,0,3,0,1,1,0,1,1,1,0,11,3,0,4,"Positive",0,0
"character(0)477",4,1,0,0,1,3,1,0,0,0,0,3,2,1,3,1,"Positive",0,0
"character(0)478",0,1,0,1,0,3,8,0,2,1,4,0,2,2,1,0,"Positive",0,0
"character(0)479",1,1,0,1,0,2,11,1,0,1,1,1,1,2,1,2,"Positive",0,0
"character(0)480",0,2,0,0,0,1,6,0,1,0,1,0,1,1,1,2,"Positive",0,0
"character(0)481",0,0,0,0,0,1,2,0,0,1,1,0,0,2,0,1,"Positive",0,0
"character(0)482",1,4,0,0,0,2,3,0,1,0,0,3,1,1,0,0,"Positive",0,0
"character(0)483",1,3,0,0,0,0,5,2,0,0,0,0,1,2,0,2,"Positive",0,0
"character(0)484",0,0,0,0,2,1,1,0,0,0,0,1,0,0,1,0,"Positive",0,0
"character(0)485",3,1,0,1,2,1,2,0,0,1,0,2,2,0,0,3,"Positive",0,0
"character(0)486",0,1,0,3,0,1,7,4,0,0,2,1,2,0,0,3,"Positive",0,0
"character(0)487",6,5,0,3,0,1,6,0,3,0,0,3,1,2,0,3,"Positive",0,0
"character(0)488",2,1,0,0,0,0,3,0,1,1,0,1,4,0,2,1,"Positive",0,0
"character(0)489",2,2,0,4,0,2,3,0,1,2,1,0,1,2,1,1,"Positive",0,0
"character(0)490",7,2,0,0,1,2,0,2,0,1,3,0,1,3,1,0,"Positive",0,0
"character(0)491",1,2,0,1,1,0,2,1,0,1,0,1,2,0,0,1,"Positive",0,0
"character(0)492",5,2,0,2,2,1,3,1,1,4,2,0,1,2,0,0,"Positive",0,0
"character(0)493",0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,"Positive",0,0
"character(0)494",2,0,0,1,1,2,1,0,1,0,0,0,0,1,2,0,"Positive",0,0
"character(0)495",0,0,0,1,0,0,15,0,1,3,1,0,1,0,0,0,"Positive",0,0
"character(0)496",0,7,0,0,0,6,6,2,2,3,4,5,2,2,0,1,"Positive",0,0
"character(0)497",8,1,0,2,0,3,5,0,0,1,0,4,3,1,1,1,"Positive",0,0
"character(0)498",1,0,0,0,1,2,1,0,2,0,0,1,4,1,0,3,"Positive",0,0
"character(0)499",0,0,0,0,1,0,0,0,1,0,3,0,2,0,0,1,"Positive",0,0
"character(0)500",2,0,0,2,0,1,1,2,1,2,1,3,1,0,0,0,"Positive",0,0
"character(0)501",5,3,0,5,0,2,4,0,6,1,7,1,5,3,3,0,"Positive",0,0
"character(0)502",1,1,0,1,1,1,3,2,1,0,1,1,2,0,0,5,"Positive",0,0
"character(0)503",2,0,0,2,2,2,0,1,2,2,7,0,3,2,3,1,"Positive",0,0
"character(0)504",0,1,0,0,1,3,5,4,0,0,0,0,2,1,2,0,"Positive",0,0
"character(0)505",3,2,0,0,3,2,5,4,2,1,1,1,1,0,3,3,"Positive",0,0
"character(0)506",6,4,0,4,2,1,1,2,0,7,5,5,8,2,1,2,"Positive",0,0
"character(0)507",1,4,0,3,0,1,8,0,0,2,4,0,1,0,1,0,"Positive",0,0
"character(0)508",2,0,0,2,2,6,4,1,6,9,2,9,4,3,3,8,"Positive",0,0
"character(0)509",0,0,0,2,0,2,10,1,2,0,2,0,2,4,4,4,"Positive",0,0
"character(0)510",2,2,0,0,7,3,4,0,0,0,1,0,0,0,1,1,"Positive",0,0
"character(0)511",2,0,0,6,0,2,0,0,2,4,9,0,1,4,1,2,"Positive",0,0
"character(0)512",5,5,0,3,4,1,2,7,3,5,7,7,1,2,1,0,"Positive",0,0
"character(0)513",0,1,0,1,0,0,0,0,1,1,2,1,0,1,0,0,"Positive",0,0
"character(0)514",0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,"Positive",0,0
"character(0)515",2,1,0,0,1,0,3,0,1,1,0,2,1,2,0,0,"Positive",0,0
"character(0)516",1,0,0,2,0,1,2,1,0,1,0,0,2,1,0,0,"Positive",0,0
"character(0)517",0,0,0,2,0,0,1,0,0,1,0,0,1,3,0,0,"Positive",0,0
"character(0)518",1,1,0,4,0,6,11,0,0,0,1,0,4,1,0,0,"Positive",0,0
"character(0)519",0,2,0,5,5,5,5,3,2,1,2,7,1,1,3,3,"Positive",0,0
"character(0)520",0,1,0,2,1,1,7,3,0,2,4,0,4,2,0,3,"Positive",0,0
"character(0)521",0,2,0,4,10,7,11,0,1,0,1,1,8,1,1,1,"Positive",0,0
"character(0)522",5,1,0,0,0,0,0,3,0,1,2,1,0,0,0,0,"Positive",0,0
"character(0)523",1,0,0,0,0,0,0,2,2,2,0,4,1,0,1,2,"Positive",0,0
"character(0)524",4,1,0,1,0,1,6,1,0,2,2,0,4,1,0,1,"Positive",0,0
"character(0)525",3,4,0,0,0,1,8,2,1,1,0,3,0,0,1,2,"Positive",0,0
"character(0)526",2,0,0,0,6,0,0,2,1,1,2,7,0,0,1,1,"Positive",0,0
"character(0)527",0,0,0,0,5,1,1,2,0,0,2,0,1,1,2,1,"Positive",0,0
"character(0)528",1,2,0,0,2,2,2,3,0,2,1,3,1,1,0,1,"Positive",0,0
"character(0)529",0,1,0,1,0,3,2,4,1,0,2,3,2,0,5,0,"Positive",0,0
"character(0)530",2,2,0,0,1,0,5,2,1,2,0,1,1,1,1,0,"Positive",0,0
"character(0)531",4,3,0,1,3,1,1,3,2,0,0,2,4,0,1,0,"Positive",0,0
"character(0)532",2,0,0,2,0,4,7,1,1,2,3,0,1,1,4,2,"Positive",0,0
"character(0)533",2,0,0,3,0,0,5,0,0,1,2,0,0,0,0,0,"Positive",0,0
"character(0)534",7,1,0,1,0,1,2,2,0,2,2,0,3,1,0,0,"Positive",0,0
"character(0)535",1,1,0,0,0,1,8,1,2,1,0,0,0,0,0,2,"Positive",0,0
"character(0)536",3,0,0,1,0,3,0,1,0,0,0,2,1,1,0,0,"Positive",0,0
"character(0)537",4,0,0,0,1,3,2,2,1,0,0,1,0,0,2,1,"Positive",0,0
"character(0)538",5,1,0,1,1,5,1,0,2,0,0,0,1,1,2,1,"Positive",0,0
"character(0)539",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"Positive",0,0
"character(0)540",0,1,0,0,1,1,3,0,0,0,0,0,0,0,2,1,"Positive",0,0
"character(0)541",1,0,0,3,0,1,0,0,0,5,1,2,4,1,1,0,"Positive",0,0
"character(0)542",0,0,0,0,8,1,2,0,0,0,0,0,0,1,1,0,"Positive",0,0
"character(0)543",3,0,0,1,5,2,5,0,3,0,1,1,2,1,0,0,"Positive",0,0
"character(0)544",1,2,0,2,1,2,8,1,1,0,2,3,2,1,0,0,"Positive",0,0
"character(0)545",4,1,0,4,2,2,1,2,3,3,0,4,4,0,0,0,"Positive",0,0
"character(0)546",1,0,0,2,0,1,5,1,2,1,1,2,0,1,1,0,"Positive",0,0
"character(0)547",3,0,0,0,0,1,0,0,1,0,1,1,0,2,1,0,"Positive",0,0
"character(0)548",3,2,0,1,0,1,5,0,1,2,4,1,3,2,0,1,"Positive",0,0
"character(0)549",4,1,0,0,0,0,1,1,2,1,0,0,0,0,1,1,"Positive",0,0
"character(0)550",1,1,0,6,2,2,11,4,0,0,3,0,1,1,2,0,"Positive",0,0
"character(0)551",2,0,0,2,1,2,3,1,2,1,0,2,2,0,0,0,"Positive",0,0
"character(0)552",13,1,0,2,3,4,0,3,4,7,14,2,1,3,5,3,"Positive",0,0
"character(0)553",4,8,0,1,1,4,1,2,4,0,2,2,2,3,1,4,"Positive",0,0
"character(0)554",1,1,0,5,1,1,7,1,1,0,0,1,0,0,0,1,"Positive",0,0
"character(0)555",0,0,0,2,0,1,4,1,1,1,2,0,1,0,0,1,"Positive",0,0
"character(0)556",0,1,0,2,1,2,8,4,0,0,1,2,3,8,2,2,"Positive",0,0
"character(0)557",8,4,0,2,0,4,1,2,0,0,0,2,1,1,0,0,"Positive",0,0
"character(0)558",0,1,0,0,1,1,0,1,0,0,0,4,1,0,1,1,"Positive",0,0
"character(0)559",3,0,0,0,2,2,2,1,0,0,0,3,2,4,0,1,"Positive",0,0
"character(0)560",5,12,0,3,3,6,1,4,2,1,2,10,1,0,3,2,"Positive",0,0
"character(0)561",2,0,0,1,0,1,4,2,2,0,0,2,1,0,1,0,"Positive",0,0
"character(0)562",5,0,0,3,0,1,17,1,2,2,2,1,0,2,2,0,"Positive",0,0
"character(0)563",0,2,0,0,1,3,2,4,1,1,5,0,1,0,1,0,"Positive",0,0
"character(0)564",2,0,0,0,0,2,5,0,2,0,2,0,1,1,0,0,"Positive",0,0
"character(0)565",1,0,0,0,0,0,1,1,1,0,0,2,2,0,0,0,"Positive",0,0
"character(0)566",4,0,0,0,11,0,0,0,1,0,2,0,2,0,0,0,"Positive",0,0
"character(0)567",3,2,0,1,2,0,6,0,0,0,2,0,4,5,0,4,"Positive",0,0
"character(0)568",4,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,"Positive",0,0
"character(0)569",2,1,0,0,8,1,3,0,1,0,0,1,2,0,0,1,"Positive",0,0
"character(0)570",1,0,0,1,0,1,8,1,0,0,1,1,0,9,0,1,"Positive",0,0
"character(0)571",1,0,0,1,2,2,1,1,1,2,0,3,1,1,1,1,"Positive",0,0
"character(0)572",0,0,0,1,1,0,1,0,0,2,1,2,0,0,2,0,"Positive",0,0
"character(0)573",2,8,0,0,2,1,2,1,0,0,0,2,1,0,1,1,"Positive",0,0
"character(0)574",1,1,0,1,0,3,2,0,2,0,0,3,4,3,0,2,"Positive",0,0
"character(0)575",1,1,0,1,2,5,10,1,1,1,0,0,1,0,0,4,"Positive",0,0
"character(0)576",3,1,0,0,0,5,7,0,0,4,0,12,1,1,0,0,"Positive",0,0
"character(0)577",4,0,0,1,1,1,0,6,0,0,0,1,1,0,4,1,"Positive",0,0
"character(0)578",1,0,0,2,2,1,1,2,1,2,1,1,3,0,2,0,"Positive",0,0
